OBJECTID,SETTLEMENT,REG_NAME,DIST_NAME,tribe_level,percent,Source,Confidence,Tribe_name,,,
10228,Hagarow,Bay,Buur Hakaba,1,100%,,,Rahanweyn,,,
10375,Doyaleey,Bay,Buur Hakaba,1,100%,,,Rahanweyn,,,
4453,Bannaaney,Bakool,Rab Dhuure,1,100%,,,Rahanweyn,,,
3826,Haarri,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
10451,Aaminey/kobon koodi,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
6312,Aanole,Gedo,Baardheere,1,100%,,,Rahanweyn,,,
10321,Dacarta,Bay,Buur Hakaba,1,100%,,,Rahanweyn,,,
4045,Buulo fur,Bakool,Xudur,1,100%,,,Rahanweyn,,,
10544,Shuun-qayli,Bay,Buur Hakaba,1,100%,,,Rahanweyn,,,
4349,Towsiile jiroon,Gedo,Luuq,1,100%,,,Rahanweyn,,,
3682,War tugeeri,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
4728,Shaatilow,Gedo,Luuq,1,100%,,,Rahanweyn,,,
2587,Baarey,Hiraan,Belet Weyne,1,100%,,,Rahanweyn,,,
3889,Baidoa/hawl wadaag/laanta,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
3657,Tubake,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
6665,Showka,Bay,Buur Hakaba,1,100%,,,Rahanweyn,,,
4428,War gubey,Bakool,Rab Dhuure,1,100%,,,Rahanweyn,,,
9887,Fulayley,Shabelle Hoose,Qoryooley,1,100%,,,Rahanweyn,,,
4519,Hagar,Gedo,Belet Xaawo,1,100%,,,Rahanweyn,,,
10417,Godobey,Bay,Buur Hakaba,1,100%,,,Rahanweyn,,,
4318,War-dhifir,Bakool,Rab Dhuure,1,100%,,,Rahanweyn,,,
4448,Af gooye,Bakool,Rab Dhuure,1,100%,,,Rahanweyn,,,
3601,Goof-dhuubow,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
6279,Gaaguure,Juba Dhexe,Saakow,1,100%,,,Rahanweyn,,,
6551,Baciidley,Gedo,Baardheere,1,100%,,,Rahanweyn,,,
10063,Galoole,Shabelle Hoose,Wanla Weyn,1,100%,,,Rahanweyn,,,
10146,Yuubka,Bay,Buur Hakaba,1,100%,,,Rahanweyn,,,
3479,Ordolo wangel,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
6993,Jameeco furid,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
10641,Samakay eddi,Bay,Buur Hakaba,1,100%,,,Rahanweyn,,,
9992,Mi' iskaroon,Bay,Buur Hakaba,1,100%,,,Rahanweyn,,,
4612,Khadijo hagi/bulo haji,Gedo,Belet Xaawo,1,100%,,,Rahanweyn,,,
3700,Loojar,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
4320,War hinshile,Bakool,Rab Dhuure,1,100%,,,Rahanweyn,,,
6903,Xussein aden,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
10534,Fulayka,Bay,Buur Hakaba,1,100%,,,Rahanweyn,,,
6845,Buulo-qadi-suleyman,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
4714,Bashiiro,Gedo,Luuq,1,100%,,,Rahanweyn,,,
4329,Towsiiley hadame,Bakool,Rab Dhuure,1,100%,,,Rahanweyn,,,
3437,Gaalsomal,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
10675,Buulo uunsin,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
10388,Mino kuroon,Bay,Buur Hakaba,1,100%,,,Rahanweyn,,,
4043,Dina,Bakool,Xudur,1,100%,,,Rahanweyn,,,
10546,Mogdiile,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
3758,War owilow,Bay,Baydhaba,1,100%,,,Rahanweyn,,,
